,1. open,2. high,3. low,4. close,5. volume
2024-02-26 19:55:00,14.6300,14.6350,14.6300,14.6350,1234
2024-02-26 19:50:00,14.6200,14.6400,14.6100,14.6300,549
2024-02-26 19:45:00,14.6300,14.6300,14.6200,14.6200,103
2024-02-26 19:40:00,14.6300,14.6300,14.6200,14.6300,375
2024-02-26 19:35:00,14.6400,14.6400,14.6300,14.6300,1203
2024-02-26 19:30:00,14.6400,14.6400,14.6200,14.6400,450
2024-02-26 19:25:00,14.6200,14.6400,14.6200,14.6400,203
2024-02-26 19:20:00,14.6300,14.6400,14.6200,14.6210,1073
2024-02-26 19:10:00,14.6200,14.6300,14.6200,14.6300,4
2024-02-26 19:05:00,14.6500,14.6500,14.6200,14.6200,380
2024-02-26 19:00:00,14.6500,14.6500,14.6400,14.6400,491688
2024-02-26 18:55:00,14.6490,14.6500,14.6490,14.6500,40
2024-02-26 18:50:00,14.6490,14.6500,14.6490,14.6500,102
2024-02-26 18:45:00,14.6310,14.6500,14.6310,14.6500,12
2024-02-26 18:40:00,14.6300,14.6300,14.6300,14.6300,164
2024-02-26 18:35:00,14.6500,14.6500,14.6400,14.6400,39
2024-02-26 18:30:00,14.6500,14.6500,14.6500,14.6500,491689
2024-02-26 18:25:00,14.6400,14.6500,14.6400,14.6490,59
2024-02-26 18:20:00,14.6400,14.6500,14.6400,14.6500,314
2024-02-26 18:15:00,14.6500,14.6500,14.6490,14.6490,45
2024-02-26 18:05:00,14.6500,14.6500,14.6500,14.6500,15
2024-02-26 18:00:00,14.6500,14.6500,14.6200,14.6500,55
2024-02-26 17:55:00,14.6500,14.6500,14.6500,14.6500,13
2024-02-26 17:50:00,14.6500,14.6500,14.6350,14.6350,43
2024-02-26 17:45:00,14.6500,14.6600,14.6400,14.6500,238
2024-02-26 17:40:00,14.6700,14.6700,14.6600,14.6600,67
2024-02-26 17:35:00,14.6600,14.6700,14.6600,14.6700,215
2024-02-26 17:30:00,14.6600,14.6700,14.6600,14.6650,28
2024-02-26 17:25:00,14.6700,14.6700,14.6600,14.6600,280
2024-02-26 17:20:00,14.6600,14.6600,14.6600,14.6600,7
2024-02-26 17:15:00,14.6700,14.6700,14.6650,14.6700,15
2024-02-26 17:10:00,14.6500,14.6700,14.6500,14.6700,46
2024-02-26 17:05:00,14.6600,14.6600,14.6600,14.6600,50
2024-02-26 17:00:00,14.6500,14.6600,14.6500,14.6500,3376
2024-02-26 16:55:00,14.6600,14.6600,14.6600,14.6600,68
2024-02-26 16:50:00,14.6500,14.6550,14.6400,14.6500,646382
2024-02-26 16:45:00,14.6500,14.6500,14.6400,14.6500,36
2024-02-26 16:40:00,14.6500,14.6500,14.6400,14.6400,36
2024-02-26 16:35:00,14.6500,14.6500,14.6400,14.6400,1103
2024-02-26 16:30:00,14.6100,14.6500,14.6100,14.6500,1577
2024-02-26 16:25:00,14.6600,14.6700,14.6300,14.6300,2425
2024-02-26 16:20:00,14.6600,14.6650,14.6600,14.6650,3
2024-02-26 16:15:00,14.6700,14.6700,14.6600,14.6600,20
2024-02-26 16:10:00,14.6500,14.6700,14.6500,14.6500,500878
2024-02-26 16:05:00,14.6500,14.6650,14.6500,14.6600,2767
2024-02-26 16:00:00,14.6600,14.6600,14.6500,14.6600,1047109
2024-02-26 15:55:00,14.6550,14.6600,14.6400,14.6600,768991
2024-02-26 15:50:00,14.6600,14.6600,14.6500,14.6550,345748
2024-02-26 15:45:00,14.6400,14.6600,14.6300,14.6550,263484
2024-02-26 15:40:00,14.6300,14.6400,14.6200,14.6400,166762
2024-02-26 15:35:00,14.6250,14.6400,14.6200,14.6350,134892
2024-02-26 15:30:00,14.6300,14.6350,14.6120,14.6250,393594
2024-02-26 15:25:00,14.6300,14.6380,14.6200,14.6300,136020
2024-02-26 15:20:00,14.6140,14.6300,14.6100,14.6250,236439
2024-02-26 15:15:00,14.6250,14.6300,14.6100,14.6120,127520
2024-02-26 15:10:00,14.6100,14.6300,14.6100,14.6300,114786
2024-02-26 15:05:00,14.5950,14.6200,14.5950,14.6050,223974
2024-02-26 15:00:00,14.5950,14.6100,14.5900,14.6000,143918
2024-02-26 14:55:00,14.5950,14.6100,14.5900,14.5950,215452
2024-02-26 14:50:00,14.5800,14.6000,14.5740,14.5950,137076
2024-02-26 14:45:00,14.5850,14.5960,14.5700,14.5700,201166
2024-02-26 14:40:00,14.5800,14.5900,14.5800,14.5900,42870
2024-02-26 14:35:00,14.5750,14.5900,14.5700,14.5800,75127
2024-02-26 14:30:00,14.5860,14.5900,14.5600,14.5750,125946
2024-02-26 14:25:00,14.5800,14.5900,14.5720,14.5850,114773
2024-02-26 14:20:00,14.5850,14.5900,14.5720,14.5750,75731
2024-02-26 14:15:00,14.5980,14.6000,14.5800,14.5850,152106
2024-02-26 14:10:00,14.6100,14.6100,14.5920,14.5950,156525
2024-02-26 14:05:00,14.6000,14.6160,14.5900,14.6100,139573
2024-02-26 14:00:00,14.6000,14.6060,14.5900,14.5950,67770
2024-02-26 13:55:00,14.5940,14.6060,14.5900,14.5900,80665
2024-02-26 13:50:00,14.5750,14.6000,14.5740,14.5940,154906
2024-02-26 13:45:00,14.5900,14.5990,14.5700,14.5750,88103
2024-02-26 13:40:00,14.5750,14.6000,14.5700,14.5900,94376
2024-02-26 13:35:00,14.5700,14.5900,14.5700,14.5800,109958
2024-02-26 13:30:00,14.5800,14.5800,14.5700,14.5700,134647
2024-02-26 13:25:00,14.5750,14.5800,14.5600,14.5750,97164
2024-02-26 13:20:00,14.5700,14.5900,14.5700,14.5750,163092
2024-02-26 13:15:00,14.6000,14.6060,14.5600,14.5750,188589
2024-02-26 13:10:00,14.5750,14.6000,14.5700,14.6000,122278
2024-02-26 13:05:00,14.5700,14.5960,14.5700,14.5700,159493
2024-02-26 13:00:00,14.5650,14.5800,14.5500,14.5800,405549
2024-02-26 12:55:00,14.5440,14.5700,14.5400,14.5660,79457
2024-02-26 12:50:00,14.5350,14.5500,14.5300,14.5450,43868
2024-02-26 12:45:00,14.5450,14.5500,14.5200,14.5350,130551
2024-02-26 12:40:00,14.5350,14.5500,14.5300,14.5450,120357
2024-02-26 12:35:00,14.5300,14.5400,14.5300,14.5350,55877
2024-02-26 12:30:00,14.5640,14.5700,14.5300,14.5350,127544
2024-02-26 12:25:00,14.5690,14.5800,14.5600,14.5700,117505
2024-02-26 12:20:00,14.5600,14.5700,14.5540,14.5700,167138
2024-02-26 12:15:00,14.5650,14.5690,14.5500,14.5650,195073
2024-02-26 12:10:00,14.5750,14.5800,14.5500,14.5650,216470
2024-02-26 12:05:00,14.5750,14.5800,14.5700,14.5750,72569
2024-02-26 12:00:00,14.5700,14.5800,14.5600,14.5800,266988
2024-02-26 11:55:00,14.5700,14.5800,14.5600,14.5650,179693
2024-02-26 11:50:00,14.5750,14.5860,14.5700,14.5750,147469
2024-02-26 11:45:00,14.5710,14.5900,14.5600,14.5800,379320
